name,metropolitan,city,district,detailedAddress
대련집,서울특별시,종로구,관수동,163
애성회관 한우곰탕,서울특별시,중구,북창동,93-36
대한옥,서울특별시,영등포구,영등포동2가,221-1
동원집,서울특별시,중구,초동,158-14
청진옥,서울특별시,종로구,청진동,183-1
영춘옥,서울특별시,종로구,돈의동,131-1
사랑방칼국수,서울특별시,중구,충무로3가,23-1
송죽장,서울특별시,영등포구,영등포동4가,98-12
오죽이네,서울특별시,종로구,익선동,156
유진식당,서울특별시,종로구,낙원동,221
부일갈비,서울특별시,영등포구,영등포동3가,23-11
뱃고동 본점,서울시,강남구,신사동,663
계림,서울특별시,종로구,종로3가,167
미성옥,서울특별시,중구,명동1가,54-5
평양집,서울특별시,용산구,한강로1가,137-1
부민옥,서울특별시,중구,다동,177-2
할머니포장마차,서울특별시,송파구,방이동,49-5
산수갑산,서울특별시,중구,인현동1가,15-4
황평집닭곰탕,서울시,중구,인현동2가,135-13
서촌계단집,서울특별시,종로구,내자동,11-1
닭진미강원집,서울특별시,중구,남창동,34-139
부일갈매기,서울특별시,송파구,잠실동,242-22
소문난식당,서울특별시,영등포구,문래동4가,8-30
합천돼지국밥,서울특별시,종로구,낙원동,290-1
호반,서울특별시,종로구,낙원동,85-7
홍릉각,서울특별시,동대문구,제기동,838
광화문집,서울특별시,종로구,당주동,43
꺼거,서울특별시,용산구,한강로2가,100-3
서울식품,서울특별시,종로구,관수동,102-2
인천집,서울시,중구,다동,60
박순례 손말이고기 산정집,서울특별시,종로구,당주동,3-2
중림장설렁탕,서울특별시,중구,중림동,468
오고또포차,서울특별시,종로구,관철동,35-3
은성감자탕,서울특별시,영등포구,당산동3가,173
경복식당,서울특별시,노원구,공릉동,740
백제정육점,서울시,종로구,효제동,155
이강순실비집,서울특별시,종로구,관철동,11-11
금자네생등심,서울특별시,중구,남대문로5가,63-7
안동장,서울특별시,중구,을지로3가,315-18
막내횟집,서울특별시,중구,남창동,50-48
대성집,서울특별시,종로구,행촌동,209-35
대성반점,서울특별시,강동구,천호동,312-15
덕수정,서울,중구,정동,11-5
굴다리식당 마포본점,서울특별시,마포구,도화동,181-45
